,#LMOSAL,#SHKRMA,#ATMBAY,#MGBINT,#MAROLY,#PORMCI,#ATAMID,#LIVAJX,#KRAREN,#IBFKRBL,#BRUZEN,#BVBLAZ,#FERBAR,#JUVDKV,#MUNPSG,#SEVCHE
0,2020-12-02 12:28:08,2020-12-05 08:32:08,2020-12-03 18:34:57,2020-12-01 21:22:42,2020-12-04 13:49:26,2020-12-05 02:49:51,2020-12-02 10:04:22,2020-12-05 19:23:31,2020-12-03 12:17:37,2020-12-05 09:54:40,2020-12-03 11:37:15,2020-12-04 02:30:44,2020-12-04 15:50:47,2020-12-03 12:17:37,2020-12-05 22:20:10,2020-12-05 22:44:42
1,2020-12-02 09:28:49,2020-12-05 08:25:39,2020-12-03 02:24:48,2020-12-01 14:08:50,2020-12-04 13:27:59,2020-12-03 18:54:56,2020-12-02 09:31:39,2020-12-04 13:42:58,2020-12-03 11:58:39,2020-12-04 23:27:56,2020-12-03 08:10:32,2020-12-03 20:13:13,2020-12-03 23:48:12,2020-12-03 10:03:34,2020-12-05 22:16:52,2020-12-05 22:30:38
2,2020-12-02 09:05:07,2020-12-05 06:36:29,2020-12-02 23:14:53,,2020-12-04 10:33:07,2020-12-03 14:46:02,2020-12-02 08:57:55,2020-12-03 23:14:57,2020-12-03 09:06:39,2020-12-04 23:23:42,2020-12-03 06:16:31,2020-12-03 18:45:17,2020-12-03 23:12:02,2020-12-03 04:55:08,2020-12-05 22:01:31,2020-12-05 22:30:10
3,2020-12-01 21:34:53,2020-12-04 12:17:28,2020-12-02 20:52:53,,2020-12-04 10:32:52,2020-12-03 14:43:39,2020-12-02 02:45:40,2020-12-03 17:28:22,2020-12-03 08:59:44,2020-12-04 23:21:10,2020-12-03 02:56:59,2020-12-03 15:08:43,2020-12-03 21:04:07,2020-12-03 02:36:10,2020-12-05 21:54:47,2020-12-05 22:28:50
4,2020-12-01 20:19:38,2020-12-04 05:23:24,2020-12-02 15:36:42,,2020-12-04 08:49:40,2020-12-03 12:44:23,2020-12-02 01:50:29,2020-12-03 17:27:58,2020-12-03 08:13:45,2020-12-04 21:55:10,2020-12-03 00:34:37,2020-12-03 14:00:03,2020-12-03 20:47:34,2020-12-03 02:08:08,2020-12-05 21:47:45,2020-12-05 22:26:02
5,2020-12-01 20:15:56,2020-12-03 20:55:54,2020-12-02 14:52:56,,2020-12-04 08:48:45,2020-12-03 08:53:08,2020-12-01 22:39:25,2020-12-03 17:27:51,2020-12-03 00:32:33,2020-12-04 21:42:29,2020-12-02 23:14:19,2020-12-03 12:17:37,2020-12-03 18:34:35,2020-12-03 00:30:10,2020-12-05 21:16:26,2020-12-05 22:04:21
6,2020-12-01 19:56:24,2020-12-03 20:54:47,2020-12-02 14:50:49,,2020-12-03 21:49:01,2020-12-03 08:51:48,2020-12-01 22:31:07,2020-12-03 17:27:45,2020-12-02 23:49:01,2020-12-04 20:44:01,2020-12-02 23:08:28,2020-12-03 10:26:21,2020-12-03 17:27:03,2020-12-02 23:28:57,2020-12-05 21:01:26,2020-12-05 22:01:39
7,2020-12-01 19:53:35,2020-12-03 20:54:17,2020-12-02 14:40:56,,2020-12-03 21:47:00,2020-12-03 08:35:59,2020-12-01 22:03:15,2020-12-03 11:51:56,2020-12-02 22:30:19,2020-12-04 18:49:02,2020-12-02 22:14:27,2020-12-03 10:15:51,2020-12-03 17:17:46,2020-12-02 23:15:47,2020-12-05 20:59:47,2020-12-05 22:01:04
8,2020-12-01 19:49:48,2020-12-03 20:54:05,2020-12-02 13:42:12,,2020-12-03 21:41:39,2020-12-03 07:57:38,2020-12-01 21:56:00,2020-12-03 05:24:23,2020-12-02 22:29:06,2020-12-04 17:58:02,2020-12-02 22:00:48,2020-12-03 08:56:43,2020-12-03 16:47:20,2020-12-02 23:03:16,2020-12-05 20:54:03,2020-12-05 22:00:46
9,2020-12-01 19:46:26,2020-12-03 20:54:01,2020-12-02 13:34:04,,2020-12-03 20:37:37,2020-12-03 02:09:57,2020-12-01 21:55:39,2020-12-03 04:30:19,2020-12-02 21:59:29,2020-12-04 17:26:00,2020-12-02 21:59:35,2020-12-03 08:15:23,2020-12-03 16:46:07,2020-12-02 22:51:50,2020-12-05 20:35:01,2020-12-05 21:41:25
10,2020-12-01 19:46:23,2020-12-03 20:54:00,2020-12-02 13:12:55,,2020-12-03 20:36:26,2020-12-02 18:48:06,2020-12-01 21:54:20,2020-12-03 03:59:45,2020-12-02 21:45:13,2020-12-04 06:10:24,2020-12-02 21:54:58,2020-12-03 07:56:53,2020-12-03 15:59:12,2020-12-02 22:47:35,2020-12-05 19:55:02,2020-12-05 21:24:44
11,2020-12-01 19:46:10,2020-12-03 20:53:28,2020-12-02 11:56:54,,2020-12-03 14:20:28,2020-12-02 17:51:37,2020-12-01 21:51:42,2020-12-03 03:17:55,2020-12-02 21:31:06,2020-12-03 19:23:42,2020-12-02 21:54:32,2020-12-03 07:46:28,2020-12-03 15:16:41,2020-12-02 22:38:44,2020-12-05 19:53:11,2020-12-05 21:14:27
12,2020-12-01 19:44:21,2020-12-03 20:53:21,2020-12-02 11:46:19,,2020-12-03 11:21:33,2020-12-02 17:09:33,2020-12-01 21:51:42,2020-12-03 03:10:24,2020-12-02 20:37:30,2020-12-03 18:34:32,2020-12-02 21:53:55,2020-12-03 07:01:06,2020-12-03 15:12:41,2020-12-02 22:31:51,2020-12-05 19:32:42,2020-12-05 21:05:09
13,2020-12-01 19:43:15,2020-12-03 20:53:09,2020-12-02 10:56:57,,2020-12-02 23:21:18,2020-12-02 17:02:29,2020-12-01 21:51:14,2020-12-03 02:57:14,2020-12-02 20:31:00,2020-12-03 17:02:16,2020-12-02 21:53:37,2020-12-03 06:56:39,2020-12-03 15:09:53,2020-12-02 22:30:19,2020-12-05 19:32:06,2020-12-05 21:00:44
14,2020-12-01 19:42:46,2020-12-03 20:52:37,2020-12-02 10:48:09,,2020-12-02 21:17:45,2020-12-02 16:58:32,2020-12-01 21:44:47,2020-12-03 02:42:22,2020-12-02 20:28:42,2020-12-03 16:53:30,2020-12-02 21:52:05,2020-12-03 06:39:19,2020-12-03 15:09:16,2020-12-02 22:24:28,2020-12-05 19:32:04,2020-12-05 20:35:35
15,2020-12-01 19:40:50,2020-12-03 20:52:09,2020-12-02 10:47:03,,2020-12-02 20:09:00,2020-12-02 16:56:09,2020-12-01 21:44:27,2020-12-03 01:58:35,2020-12-02 20:24:52,2020-12-03 16:43:29,2020-12-02 21:51:41,2020-12-03 06:38:50,2020-12-03 14:50:09,2020-12-02 22:20:21,2020-12-05 19:25:55,2020-12-05 20:31:27
16,2020-12-01 19:40:23,2020-12-03 20:51:32,2020-12-02 10:12:09,,2020-12-02 18:47:47,2020-12-02 16:32:05,2020-12-01 21:42:26,2020-12-03 01:01:38,2020-12-02 20:18:21,2020-12-03 16:39:36,2020-12-02 21:51:34,2020-12-03 06:06:14,2020-12-03 14:36:07,2020-12-02 22:19:36,2020-12-05 19:25:30,2020-12-05 20:31:25
17,2020-12-01 19:39:44,2020-12-03 20:51:27,2020-12-02 10:09:08,,2020-12-02 18:46:54,2020-12-02 15:52:30,2020-12-01 21:41:25,2020-12-02 23:26:24,2020-12-02 20:18:02,2020-12-03 15:51:55,2020-12-02 21:51:08,2020-12-03 05:19:50,2020-12-03 14:32:59,2020-12-02 22:10:03,2020-12-05 19:24:08,2020-12-05 20:30:58
18,2020-12-01 19:37:46,2020-12-03 20:51:16,2020-12-02 09:55:50,,2020-12-02 18:11:37,2020-12-02 15:11:06,2020-12-01 21:38:10,2020-12-02 21:54:29,2020-12-02 20:14:52,2020-12-03 15:44:37,2020-12-02 21:50:38,2020-12-03 05:16:05,2020-12-03 14:27:15,2020-12-02 22:00:59,2020-12-05 19:10:27,2020-12-05 20:30:55
19,2020-12-01 19:37:38,2020-12-03 20:51:04,2020-12-02 09:55:31,,2020-12-02 17:48:07,2020-12-02 15:11:01,2020-12-01 21:36:40,2020-12-02 21:46:51,2020-12-02 20:11:09,2020-12-03 15:27:43,2020-12-02 21:50:27,2020-12-03 04:55:23,2020-12-03 14:06:12,2020-12-02 21:59:40,2020-12-05 18:57:41,2020-12-05 20:08:16
20,2020-12-01 19:36:43,2020-12-03 20:51:00,2020-12-02 09:41:10,,2020-12-02 16:38:59,2020-12-02 14:40:08,2020-12-01 21:36:24,2020-12-02 21:19:53,2020-12-02 20:04:02,2020-12-03 15:12:28,2020-12-02 21:50:16,2020-12-03 03:30:57,2020-12-03 13:55:36,2020-12-02 21:52:48,2020-12-05 18:56:04,2020-12-05 19:36:00
21,2020-12-01 19:36:07,2020-12-03 20:50:44,2020-12-02 09:30:49,,2020-12-02 15:15:17,2020-12-02 14:39:24,2020-12-01 21:36:16,2020-12-02 20:57:10,2020-12-02 19:58:12,2020-12-03 14:29:00,2020-12-02 21:50:13,2020-12-03 02:21:15,2020-12-03 13:26:01,2020-12-02 21:43:29,2020-12-05 18:55:24,2020-12-05 19:35:55
22,2020-12-01 19:36:03,2020-12-02 23:26:50,2020-12-02 09:28:49,,2020-12-02 14:56:48,2020-12-02 14:34:26,2020-12-01 21:35:40,2020-12-02 20:50:25,2020-12-02 19:55:21,2020-12-03 14:17:58,2020-12-02 21:49:59,2020-12-03 02:19:04,2020-12-03 13:21:34,2020-12-02 21:40:39,2020-12-05 18:52:12,2020-12-05 19:35:48
23,2020-12-01 19:36:02,2020-12-02 20:10:50,2020-12-02 09:10:58,,2020-12-02 13:44:57,2020-12-02 14:30:00,2020-12-01 21:35:35,2020-12-02 20:08:24,2020-12-02 19:54:33,2020-12-03 14:17:33,2020-12-02 21:49:22,2020-12-03 02:19:00,2020-12-03 13:16:32,2020-12-02 21:39:11,2020-12-05 18:38:48,2020-12-05 19:06:21
24,2020-12-01 19:35:58,2020-12-02 19:30:24,2020-12-02 09:05:07,,2020-12-02 13:28:16,2020-12-02 14:17:56,2020-12-01 21:35:35,2020-12-02 19:50:30,2020-12-02 19:54:29,2020-12-03 14:14:35,2020-12-02 21:42:41,2020-12-03 02:09:13,2020-12-03 13:12:14,2020-12-02 21:38:22,2020-12-05 18:38:42,2020-12-05 18:34:31
